Paper#Ref;Input Modalities > Geolocation;Input Modalities > Timestamp;Input Modalities > Other;Input Modalities > Text;Input Modalities > Image;Image Representation > Deep learning-based Image Features;Image Representation > Traditional Image Features;Image Representation > Unsicher;Image Representation > None;Summarization > Aggregation;Summarization > Subsampling;Summarization > Filtering;Summarization > Spatial Arrangement;Summarization > unsicher;Summarizing Entities > Marks;Summarizing Entities > Representative Images;Summarizing Entities > Captions and Tags;Summarizing Entities > Numerical statistics;Summarizing Entities > Unsicher;Input for Position in Visualization > None / fixed Visualization;Input for Position in Visualization > Single Attribute;Input for Position in Visualization > Two Attributes;Input for Position in Visualization > More Attributes;Input for Position in Visualization > Distance;Input for Position in Visualization > Geography;Input for Position in Visualization > Topology;Input for Position in Visualization > Unsicher;Set Size - Claimed > not specified;Set Size - Claimed > Tens;Set Size - Claimed > Hundreds;Set Size - Claimed > Thousands;Set Size - Claimed > Tens of Thousands;Set Size - Claimed > Hundreds of Thousands;Set Size - Claimed > Millions or More;Set Size - Confirmed > not specified;Set Size - Confirmed > Tens;Set Size - Confirmed > Hundreds;Set Size - Confirmed > Thousands;Set Size - Confirmed > Tens of Thousands;Set Size - Confirmed > Hundreds of Thousands;Set Size - Confirmed > Millions or More;Set Size - Confirmed > Unsicher;Goal > Explore;Goal > Confirm;Goal > Present;Goal > Produce;Goal > Not mentioned / unclear;Goal > Unsicher;Interactions > Select;Interactions > Navigate;Interactions > Reconfigure;Interactions > Encode;Interactions > Show Details / Show Context;Interactions > Filter;Interactions > unsicher;Interactions > None;Evaluation > Algorithmic Performance;Evaluation > None;Evaluation > User Experience and Performance;Evaluation > Qualitative Results Inspection (incl Usage Scenario / Use Case);Evaluation > Case Study (excl. Usage Scenario);Unnamed: 62
A joint optimization model for image summarization based on image content and tags#http://zotero.org/groups/3431/items/25TPE85J;0;0;0;1;1;0;2;0;0;0;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;10;0;
Real-time visual navigation in huge image sets using similarity graphs#http://zotero.org/groups/3431/items/T9UJYMHW;0;0;0;0;1;2;2;0;0;3;0;3;3;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;0;0;0;0;0;9;9;0;0;9;9;0;0;0;10;0;0;0;
Content-Based Visual Summarization for Image Collections#http://zotero.org/groups/3431/items/QWPNISL7;0;0;0;0;1;2;2;0;0;3;0;3;0;0;0;4;0;0;0;0;0;0;0;5;0;5;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;10;0;0;
Graph navigation for exploring very large image collections#http://zotero.org/groups/3431/items/5BDVQVVJ;0;0;0;0;1;2;0;0;0;3;0;3;3;0;0;4;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;0;0;0;0;0;0;9;0;0;9;0;0;0;0;10;0;0;0;
II-20: Intelligent and pragmatic analytic categorization of image collections#http://zotero.org/groups/3431/items/PRYCUTRS;0;0;0;0;1;2;0;0;0;3;0;3;0;0;0;4;4;4;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;8;0;0;8;0;0;9;0;0;0;0;9;0;0;10;0;10;0;0;
A Semantic-Based Method for Visualizing Large Image Collections#http://zotero.org/groups/3431/items/9V74JR4E;0;0;0;0;1;2;0;0;0;3;0;0;3;0;4;4;4;0;0;0;0;0;0;5;0;5;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;8;8;8;0;0;0;9;9;9;0;9;9;0;0;10;0;10;10;0;
An Approach to Generate a Caption for an Image Collection Using Scene Graph Generation#http://zotero.org/groups/3431/items/HPDC5VZ6;0;0;0;0;1;2;0;0;0;3;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;10;0;
Towards Captioning an Image Collection from a Combined Scene Graph Representation Approach#http://zotero.org/groups/3431/items/SXEI9VD3;0;0;0;0;1;2;0;0;0;3;0;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;10;0;0;0;0;
Album Quickview in Comic-like Layout via Quartet Analysis#http://zotero.org/groups/3431/items/UXVFXIU4;0;0;0;0;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;10;10;0;
Generating summaries for photographic images based on human affects#http://zotero.org/groups/3431/items/HJ264SP4;0;0;0;0;1;0;2;0;0;3;0;3;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;7;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;10;0;0;
